name,osm_id,geometry,lat,lon,index_right,subarea
Edificio San Agustin,W248634544,"POLYGON ((-2.9235928 43.2645349, -2.9233952 43.2644378, -2.9230229 43.2643186, -2.9229228 43.264461, -2.9231292 43.2645482, -2.9232152 43.2645694, -2.9231597 43.2646621, -2.9229769 43.2646315, -2.9228422 43.2645918, -2.9227717 43.2647062, -2.9230392 43.2648119, -2.9232131 43.2648528, -2.9233444 43.2647429, -2.923291 43.2647143, -2.9234006 43.2646266, -2.9234534 43.2646483, -2.9235928 43.2645349))",43.26459250062579,-2.9231745754982787,1,Uribarri
Biblioteca Central de Bidebarrieta,W108497734,"POLYGON ((-2.925071 43.2587055, -2.9250601 43.2586741, -2.9250343 43.258657, -2.9250004 43.2586487, -2.9249702 43.2586474, -2.924878 43.2586588, -2.9248732 43.2586355, -2.9248121 43.2586428, -2.924813 43.2586492, -2.9245801 43.2586715, -2.9245193 43.2586774, -2.9245676 43.2588696, -2.9247596 43.2588501, -2.9248182 43.2588372, -2.9248695 43.2588211, -2.9248609 43.2587933, -2.925015 43.2587701, -2.9250427 43.2587593, -2.9250666 43.2587374, -2.925071 43.2587055))",43.25874273518262,-2.9247747311690637,4,Ibaiondo
Biblioteca municipal de San Ignacio,N10308519810,POINT (-2.9624445 43.2812493),43.2812493,-2.9624445,0,Deusto
Biblioteca Foral,W108504682,"POLYGON ((-2.9326699 43.2614338, -2.9326408 43.2613942, -2.9322224 43.2613119, -2.9320868 43.2613641, -2.9319718 43.2616116, -2.9320186 43.2616233, -2.9320057 43.2616532, -2.9321029 43.2616752, -2.9321143 43.2616469, -2.9321461 43.2615675, -2.9321687 43.2615696, -2.9321351 43.2616524, -2.9324538 43.2617256, -2.9324886 43.2616358, -2.932215 43.2615713, -2.9322258 43.2615537, -2.9324994 43.2616183, -2.9325825 43.2616354, -2.9326699 43.2614338))",43.26150873360247,-2.9323193974511943,5,Abando
Centro Municipal de Solokoetxe,W420558992,"POLYGON ((-2.9205547 43.2569737, -2.9204251 43.2568897, -2.920396 43.2568708, -2.9202869 43.25694, -2.9203274 43.2569662, -2.9203378 43.256973, -2.9202637 43.2570336, -2.9203901 43.2571083, -2.9205547 43.2569737))",43.256988569906525,-2.92040166742721,4,Ibaiondo
Centro Mpal. de Distrito Zabala,N11229801356,POINT (-2.9319814 43.2538282),43.2538282,-2.9319814,4,Ibaiondo
Biblioteca de San Francisco,N5056088727,POINT (-2.9264049 43.2562779),43.2562779,-2.9264049,4,Ibaiondo
Barrio Altamira 39,N5056200430,POINT (-2.9628267 43.2613693),43.2613693,-2.9628267,7,Basurtu-Zorrotza
Centro Mpal. de Zorroza,N11229807742,POINT (-2.9749112 43.2774341),43.2774341,-2.9749112,7,Basurtu-Zorrotza
Centro Mpal. de Distrito Basurto,N9607467466,POINT (-2.9488089 43.2589548),43.2589548,-2.9488089,7,Basurtu-Zorrotza
Centro Mpal. de Irala,N5056183351,POINT (-2.9359224 43.251483),43.251483,-2.9359224,6,Errekalde
Oficina Municipal de Distrito Abando,N4731925117,POINT (-2.9329433 43.2661842),43.2661842,-2.9329433,5,Abando
CEPA Bilbao Uretamendi,W301165234,"POLYGON ((-2.9512008 43.2470148, -2.9510284 43.2469483, -2.9509996 43.2469371, -2.9507597 43.2472665, -2.9509609 43.2473443, -2.9510664 43.2471994, -2.9511892 43.2470307, -2.9512008 43.2470148))",43.24714070207488,-2.9509802354261194,6,Errekalde
Centro Mpal. de Distrito Rekalde,N9607455457,POINT (-2.9481901 43.252218),43.252218,-2.9481901,6,Errekalde
Oficina Municipal de Distrito Uribarri,W48045715,"POLYGON ((-2.9127986 43.2647187, -2.9127754 43.2645045, -2.9125092 43.2645198, -2.9125324 43.264734, -2.9127986 43.2647187))",43.26461925000001,-2.912653900000001,1,Uribarri
Centro Mpal. de Distrito San Ignacio,N5056421870,POINT (-2.9587254 43.2773644),43.2773644,-2.9587254,0,Deusto
Centro Mpal. de Castanos,N9607363904,POINT (-2.9265437 43.2682033),43.2682033,-2.9265437,1,Uribarri
Bidarte,W185205681,"POLYGON ((-2.9511558 43.2723253, -2.9511447 43.2723246, -2.9511447 43.2723042, -2.9507175 43.2723008, -2.9507212 43.2723511, -2.9506363 43.2723531, -2.9506718 43.2723226, -2.9506736 43.2722846, -2.9506503 43.2722696, -2.9506569 43.2721902, -2.9506326 43.2721725, -2.9504274 43.2721698, -2.9503994 43.2721868, -2.9504013 43.2722608, -2.9503584 43.2722615, -2.9503602 43.2723375, -2.9504004 43.2723382, -2.9504013 43.2723966, -2.9504265 43.2723966, -2.9504237 43.2724747, -2.9507674 43.272476, -2.9507687 43.2724992, -2.9508656 43.2725001, -2.9508801 43.272515, -2.9509302 43.2725155, -2.9509467 43.2724992, -2.9510331 43.2724992, -2.9510373 43.2724404, -2.951153 43.2724391, -2.9511558 43.2723253))",43.27236008339459,-2.9507221366997642,0,Deusto
Mercado Santutxu,N5056328910,POINT (-2.9149326 43.2541211),43.2541211,-2.9149326,3,Begona
Centro Municipal de Txurdinaga,W235157481,"POLYGON ((-2.9073576 43.2566313, -2.906988 43.2565864, -2.9069615 43.256699, -2.9065549 43.2566479, -2.9065293 43.2567586, -2.9073068 43.256853, -2.9073576 43.2566313))",43.25672274935615,-2.9070052667191253,2,Otxarkoaga-Txurdinaga
Centro Mpal. de Distrito Begona,N9607391207,POINT (-2.9080084 43.2500267),43.2500267,-2.9080084,3,Begona
Centro Civico Otxarkoaga,W164512079,"POLYGON ((-2.8990602 43.2579872, -2.8990377 43.2579155, -2.8990001 43.2578413, -2.8989747 43.2577606, -2.8989532 43.2576864, -2.8988982 43.2576029, -2.898866 43.2575443, -2.8988084 43.2574715, -2.8987279 43.2574285, -2.8986313 43.2574129, -2.8985884 43.2574988, -2.8986944 43.2575483, -2.8987655 43.257616, -2.8988191 43.2577215, -2.8988768 43.2578999, -2.8985226 43.2579701, -2.8984758 43.2579794, -2.8985603 43.258189, -2.8985925 43.2581811, -2.8990602 43.2580966, -2.8990602 43.2579872))",43.25788389565486,-2.8988002094288414,2,Otxarkoaga-Txurdinaga
Polideportivo Miribilla,W376396126,"POLYGON ((-2.9263745 43.2527693, -2.9262048 43.2527099, -2.9254868 43.2524587, -2.9255082 43.252781, -2.92627 43.2529373, -2.9263745 43.2527693))",43.25272399169551,-2.925878746109151,4,Ibaiondo
Polideportivo Abusu-La Pena,W397099000,"POLYGON ((-2.9251897 43.2411551, -2.924795 43.2408547, -2.9242274 43.2405963, -2.9241877 43.2405722, -2.9241679 43.2405644, -2.9240689 43.2405468, -2.9239771 43.2408757, -2.9241654 43.2409661, -2.9245237 43.2410614, -2.9247518 43.2409994, -2.9247694 43.2410464, -2.9250358 43.2412572, -2.9251897 43.2411551))",43.24088752072248,-2.9244925413981497,4,Ibaiondo
Polideportivo San Ignacio,W290069950,"POLYGON ((-2.9613675 43.2808961, -2.961307 43.2807941, -2.9610085 43.2802597, -2.9609439 43.2801644, -2.9607784 43.2798564, -2.9607296 43.2797786, -2.9605639 43.2794705, -2.9603588 43.2795289, -2.9601537 43.2795873, -2.9601348 43.2795931, -2.9597815 43.2797011, -2.9594847 43.2797919, -2.9590087 43.2799374, -2.9592533 43.280377, -2.9594375 43.2807081, -2.9597981 43.2813563, -2.9604603 43.2811604, -2.9612077 43.2809439, -2.9613675 43.2808961))",43.280414549918596,-2.9601837787502543,0,Deusto
Polideportivo Zorroza,W151883539,"POLYGON ((-2.9766192 43.2784747, -2.9765346 43.2781185, -2.9759862 43.2779396, -2.9758896 43.2779787, -2.975734 43.2780334, -2.9755194 43.2780021, -2.9753961 43.2778811, -2.9754068 43.2778069, -2.9753532 43.2777444, -2.9745518 43.2775019, -2.973995 43.2773386, -2.9736855 43.2778979, -2.9736419 43.2780099, -2.9737653 43.2780529, -2.9735684 43.2784057, -2.9734863 43.2785528, -2.9736178 43.2786323, -2.9738586 43.278708, -2.9738297 43.2787559, -2.9740067 43.2788496, -2.9747416 43.2790839, -2.9745807 43.2793612, -2.9750742 43.2797322, -2.9753424 43.2799939, -2.975527 43.2797469, -2.9758091 43.2797635, -2.9765172 43.2787637, -2.9766192 43.2784747))",43.27856405785909,-2.9750882996142076,7,Basurtu-Zorrotza
Polideportivo Deusto,W185205688,"POLYGON ((-2.9481937 43.2686601, -2.9481552 43.2685322, -2.9480804 43.2685473, -2.9475258 43.268635, -2.947568 43.2687629, -2.9481937 43.2686601))",43.26864835487923,-2.947859768119749,0,Deusto
Polideportivo Artxanda,W162445376,"POLYGON ((-2.9180973 43.2728858, -2.9179038 43.2728118, -2.9178617 43.2728701, -2.9178306 43.2728582, -2.9175841 43.2731996, -2.917636 43.2732194, -2.9175599 43.2733248, -2.917581 43.2733329, -2.9177023 43.2733793, -2.9178375 43.273192, -2.9179015 43.2732165, -2.9180755 43.2729754, -2.9180419 43.2729625, -2.9180973 43.2728858))",43.273080655467716,-2.9178267306692467,1,Uribarri
Polideportivo Txurdinaga,W305622069,"POLYGON ((-2.9084076 43.2501204, -2.9081811 43.2501179, -2.9082093 43.249654, -2.9083312 43.2496613, -2.9081204 43.2492528, -2.9079621 43.2491115, -2.9078175 43.2490164, -2.9077086 43.2489693, -2.9074807 43.2488979, -2.9073439 43.2488752, -2.9065059 43.2488356, -2.9063586 43.2488393, -2.9062635 43.2488981, -2.9060109 43.2494947, -2.9059188 43.2496693, -2.905916 43.2498357, -2.9060227 43.2499527, -2.9061411 43.2500784, -2.9061857 43.2501756, -2.9062135 43.2502361, -2.9069274 43.2511043, -2.9070061 43.2510559, -2.9074874 43.251663, -2.9074457 43.2517299, -2.9079128 43.2522806, -2.9081099 43.2521361, -2.9082831 43.2502871, -2.9083734 43.2501837, -2.9084076 43.2501204))",43.25019552887615,-2.9072914369528084,3,Begona
Polideportivo El Fango,W41415573,"POLYGON ((-2.9398635 43.2461078, -2.9397233 43.2459925, -2.9393991 43.2459476, -2.9381897 43.2459349, -2.9376289 43.2459221, -2.9371577 43.2457975, -2.9368542 43.2456333, -2.9364897 43.2452815, -2.9363145 43.2450957, -2.9360516 43.2449355, -2.9357711 43.244865, -2.935482 43.2449355, -2.9352191 43.2450957, -2.9351139 43.2453199, -2.9351209 43.2455096, -2.9351227 43.2455569, -2.9351227 43.2457555, -2.9352015 43.2458708, -2.9355433 43.2459797, -2.9358237 43.2460822, -2.9359727 43.2462744, -2.9360253 43.2464666, -2.9360253 43.2466331, -2.936148 43.2467485, -2.9362969 43.2469214, -2.9364372 43.2471328, -2.9365263 43.2473063, -2.9365714 43.2474716, -2.9369305 43.2474619, -2.9369469 43.2476127, -2.9377997 43.2475108, -2.9383464 43.247404, -2.9387068 43.2474083, -2.939031 43.247357, -2.9395043 43.2473121, -2.9397759 43.2472993, -2.939778 43.2472719, -2.9397576 43.2468667, -2.9398482 43.2467526, -2.9398461 43.246634, -2.9398416 43.2464455, -2.9398635 43.2461078))",43.24640784978145,-2.937495477469789,6,Errekalde
Mercado de Labayru,N5056184623,POINT (-2.9396557 43.2568371),43.2568371,-2.9396557,6,Errekalde
Mercado de Deusto,N4254043797,POINT (-2.94695 43.2711694),43.2711694,-2.94695,0,Deusto
Mercado de la Ribera,N5056437799,POINT (-2.9449199 43.2691029),43.2691029,-2.9449199,0,Deusto
Mercado de San Ignacio,N5056355015,POINT (-2.9126594 43.2646852),43.2646852,-2.9126594,1,Uribarri
Mercado de Trauko,N5056356248,POINT (-2.918579 43.2663985),43.2663985,-2.918579,1,Uribarri
Mercado del Ensanche,W41688628,"POLYGON ((-2.9311851 43.2638632, -2.9311808 43.2638622, -2.9307554 43.2637648, -2.9306002 43.2641239, -2.9310299 43.2642223, -2.9311851 43.2638632))",43.26399354682828,-2.9308926528671213,5,Abando
Mercado de Otxarkoaga,W164510985,"POLYGON ((-2.8985884 43.2577254, -2.8985791 43.2577086, -2.8985632 43.2576882, -2.8985242 43.25767, -2.8984972 43.2575848, -2.8984736 43.2574139, -2.8983363 43.2574324, -2.8982438 43.2574696, -2.898162 43.2575335, -2.8981179 43.2575895, -2.8980877 43.2576507, -2.8980729 43.257746, -2.8980868 43.2578295, -2.8983953 43.2577723, -2.8984302 43.2577668, -2.8984712 43.257785, -2.8985146 43.2577886, -2.8985579 43.2577799, -2.8985831 43.2577559, -2.8985884 43.2577254))",43.257638496193636,-2.898318280368446,2,Otxarkoaga-Txurdinaga
Oficina de Turismo,W110895854,"POLYGON ((-2.9271461 43.2609568, -2.9271429 43.2609405, -2.9271272 43.2609277, -2.9269376 43.2607886, -2.9267811 43.2608945, -2.9268428 43.2609242, -2.9267653 43.2609872, -2.9268525 43.2610323, -2.9268709 43.2610426, -2.9268938 43.2610479, -2.9269198 43.2610414, -2.9269362 43.2610311, -2.9270094 43.2610022, -2.9270551 43.2609907, -2.9270998 43.260983, -2.9271251 43.2609783, -2.9271389 43.2609703, -2.9271461 43.2609568))",43.26092919682561,-2.9269453237882157,5,Abando
Bilbao-Arte,W375390416,"POLYGON ((-2.923433 43.2531478, -2.9234157 43.2530513, -2.923409 43.2530016, -2.923377 43.2527947, -2.9233336 43.2527943, -2.9231937 43.2527938, -2.9231746 43.2528369, -2.9231471 43.2528318, -2.9229953 43.2528034, -2.9229622 43.2529846, -2.9229568 43.2530666, -2.9229729 43.2531487, -2.9230426 43.2531487, -2.9230399 43.2531057, -2.9231499 43.2531045, -2.9232223 43.2531037, -2.9232384 43.2530764, -2.923433 43.2531478))",43.25296603590128,-2.923187807157419,4,Ibaiondo
Sala BBK,N3207631929,POINT (-2.9308223 43.2618877),43.2618877,-2.9308223,5,Abando
Azkuna Zentroa - Alhondiga Bilbao,W96337695,"POLYGON ((-2.9378473 43.2595249, -2.9378197 43.2594828, -2.9366955 43.2592346, -2.9366385 43.2592568, -2.9365038 43.2595865, -2.9364153 43.2598032, -2.9364288 43.2598482, -2.9364625 43.2598724, -2.9365005 43.2599075, -2.936527 43.2599421, -2.9365423 43.259991, -2.9365518 43.2600213, -2.9365899 43.2600546, -2.9375021 43.2602562, -2.937557 43.2602338, -2.9378473 43.2595249))",43.25973970175266,-2.9371151663607047,5,Abando
Archivo Historico,N4761972760,POINT (-2.9429738 43.2642641),43.2642641,-2.9429738,5,Abando
Museo Bellas Artes de Bilbao,W28211432,"POLYGON ((-2.938475 43.2653574, -2.9380284 43.2652593, -2.9381584 43.2649457, -2.9379229 43.264894, -2.9377206 43.2653823, -2.9381106 43.265473, -2.9379565 43.2658528, -2.9375632 43.265762, -2.9374973 43.2659211, -2.9381794 43.266071, -2.938475 43.2653574))",43.26554608054959,-2.93803822151696,5,Abando
Museo de Reproducciones Artisticas,W404432093,"POLYGON ((-2.9283947 43.2558894, -2.9282214 43.2558154, -2.9280744 43.2559979, -2.9280487 43.2560947, -2.9282231 43.2561745, -2.9283947 43.2558894))",43.25599232855877,-2.9282142750288136,4,Ibaiondo
Itsasmuseum Bilbao,N518227646,POINT (-2.9463066 43.2661789),43.2661789,-2.9463066,5,Abando
Estacion del Funicular (arriba),W123440625,"POLYGON ((-2.9203323 43.2739388, -2.9202765 43.2739134, -2.9202334 43.2738935, -2.9201455 43.2739947, -2.9201392 43.2739918, -2.9200581 43.2740851, -2.9200224 43.2740687, -2.9199648 43.274135, -2.9200627 43.2741801, -2.9201751 43.2742319, -2.9202887 43.2741003, -2.9202327 43.2740747, -2.9202541 43.2740499, -2.9202415 43.2740441, -2.9203323 43.2739388))",43.27407575044531,-2.920164432463072,1,Uribarri
Estacion del Funicular (abajo),W123440604,"POLYGON ((-2.9261686 43.2688046, -2.9260049 43.2686847, -2.925888 43.2686066, -2.9258706 43.2686187, -2.9261339 43.2688297, -2.9261686 43.2688046))",43.26872494896904,-2.9260301349397224,1,Uribarri
Bilbao Intermodal,W632988668,"POLYGON ((-2.9504265 43.2610967, -2.9497899 43.2609538, -2.9496944 43.2611892, -2.9496036 43.2614132, -2.9496034 43.2614136, -2.9500371 43.2615099, -2.9502426 43.2615556, -2.9504265 43.2610967))",43.26125499964527,-2.950015396409132,7,Basurtu-Zorrotza
Estacion de Abando Indalecio Prieto,W28776478,"POLYGON ((-2.9296077 43.2596989, -2.9295562 43.2596518, -2.9295419 43.2596387, -2.9295081 43.2596079, -2.9294932 43.2595942, -2.9294483 43.2595532, -2.9294373 43.2595431, -2.9294041 43.2595127, -2.92939 43.2594999, -2.9293431 43.259457, -2.9293313 43.2594462, -2.9293028 43.2594202, -2.9292836 43.2594026, -2.9292549 43.2593763, -2.9292318 43.2593552, -2.9292075 43.2593331, -2.9291818 43.2593095, -2.9291693 43.2592981, -2.9291377 43.2592692, -2.9290333 43.2591738, -2.9276295 43.2599882, -2.927698 43.2600509, -2.9275624 43.2601296, -2.9276977 43.2602532, -2.9276456 43.2602835, -2.9274552 43.2601095, -2.9273415 43.2601754, -2.9275319 43.2603494, -2.9274815 43.2603787, -2.9274623 43.2603898, -2.9273718 43.2604423, -2.9273996 43.2604676, -2.9274657 43.2605281, -2.9275152 43.2605733, -2.9276041 43.2606546, -2.9276355 43.2606833, -2.927661 43.2607066, -2.9277424 43.260781, -2.9278305 43.2607299, -2.9278544 43.260716, -2.9296077 43.2596989))",43.259963913422865,-2.9284384320288925,5,Abando
Estacion Tren Hospital Basurto,W402170994,"POLYGON ((-2.9539673 43.2598878, -2.9525804 43.2592796, -2.9524948 43.2593888, -2.9524558 43.259371, -2.952404 43.2594325, -2.9524462 43.2594517, -2.9525533 43.2594993, -2.9537148 43.2600187, -2.9538493 43.2600792, -2.9539566 43.2599523, -2.9539673 43.2598878))",43.25967701277512,-2.9532145370708145,7,Basurtu-Zorrotza
Estacion Tren Amezola,W111740255,"POLYGON ((-2.9439015 43.2546332, -2.9435126 43.254498, -2.943361 43.2546813, -2.9438091 43.2548075, -2.9438461 43.2547373, -2.9439015 43.2546332))",43.25465516232398,-2.943640524057168,6,Errekalde
Bilbao La Concordia,W44113519,"POLYGON ((-2.9269787 43.259675, -2.9269491 43.259656, -2.9269346 43.2596467, -2.9269124 43.2596326, -2.9268812 43.2596136, -2.9268537 43.2595965, -2.9268409 43.2595885, -2.9268177 43.2595741, -2.9268116 43.2595703, -2.9268555 43.2595312, -2.9268967 43.2594945, -2.9268505 43.2594634, -2.926796 43.2594268, -2.9267035 43.2595038, -2.9266981 43.259509, -2.9266764 43.2595301, -2.9266492 43.2595564, -2.9266275 43.2595775, -2.9265986 43.2596056, -2.9266033 43.259609, -2.9264588 43.2597522, -2.9263316 43.2598769, -2.9262662 43.2599411, -2.9262404 43.2599664, -2.9262186 43.2599878, -2.9261489 43.2600565, -2.9261312 43.260074, -2.9261134 43.2600913, -2.9260437 43.2601601, -2.9260219 43.2601816, -2.9259936 43.2602098, -2.9259656 43.2602377, -2.9259373 43.2602659, -2.9259095 43.2602936, -2.9259054 43.2602977, -2.9260139 43.260354, -2.9261224 43.2604102, -2.9262196 43.260326, -2.9263696 43.2601955, -2.9263964 43.2602121, -2.926503 43.2601206, -2.9265213 43.2601051, -2.9265416 43.2600877, -2.9265594 43.2600725, -2.9266008 43.2600372, -2.9266528 43.2599925, -2.9266753 43.2599732, -2.9266481 43.2599564, -2.9268715 43.259764, -2.9269787 43.259675))",43.25993749738077,-2.9264652360563534,5,Abando
Estacion Tren Autonomia,N5056379164,POINT (-2.9459426 43.2581887),43.2581887,-2.9459426,5,Abando
Estacion Tren San Mames,W163195554,"POLYGON ((-2.9497354 43.2626202, -2.9496735 43.2625764, -2.9495601 43.2626613, -2.9495871 43.2626804, -2.949622 43.2627051, -2.9497354 43.2626202))",43.262640749370476,-2.9496477508797216,7,Basurtu-Zorrotza
Estacion de Euskotren Matico,N5056353256,POINT (-2.9250581 43.2689626),43.2689626,-2.9250581,1,Uribarri
Estacion de Euskotren Uribarri,N4508853267,POINT (-2.9205809 43.2655628),43.2655628,-2.9205809,1,Uribarri
Estacion de Euskotren Zazpi Kaleak,W485363913,"POLYGON ((-2.922195 43.2600485, -2.9221643 43.2599587, -2.9221447 43.2598923, -2.9219598 43.2599238, -2.9219275 43.2598408, -2.9218543 43.2598431, -2.9219097 43.2600841, -2.9219764 43.2600773, -2.922195 43.2600485))",43.25997684824978,-2.9220146785419328,4,Ibaiondo
Estacion de Euskotren Zurbaranbarri,N4060532227,POINT (-2.9149249 43.2648784),43.2648784,-2.9149249,1,Uribarri
Estacion de Euskotren Txurdinaga,N4060532216,POINT (-2.9067392 43.2579448),43.2579448,-2.9067392,2,Otxarkoaga-Txurdinaga
Entrada metro Langaran,N4060532217,POINT (-2.8980592 43.2581194),43.2581194,-2.8980592,2,Otxarkoaga-Txurdinaga
Entrada metro Plaza Kepa Enbeitia,N4060532220,POINT (-2.9000251 43.2594633),43.2594633,-2.9000251,2,Otxarkoaga-Txurdinaga
Parroquia Santos Juanes,W41525574,"POLYGON ((-2.9224172 43.2577378, -2.9220071 43.2575496, -2.9219935 43.257553, -2.9218748 43.2577005, -2.922012 43.2577623, -2.9221075 43.2578107, -2.9222072 43.2578517, -2.9222369 43.2578177, -2.922322 43.2578537, -2.9224172 43.2577378))",43.25771234249542,-2.9221397271902023,4,Ibaiondo
Iglesia de Santa Ana y San Nicolas de Bari,W163196945,"POLYGON ((-2.9609032 43.2654255, -2.9607271 43.2652796, -2.9604233 43.265474, -2.9604726 43.2655148, -2.9604202 43.2655484, -2.9605202 43.2656312, -2.9605684 43.2656003, -2.9605953 43.2656226, -2.9609032 43.2654255))",43.26546103784467,-2.9606482549113027,7,Basurtu-Zorrotza
Sala Ondare Aretoa,N4762096882,POINT (-2.9433546 43.2634),43.2634,-2.9433546,5,Abando
Rekalde aretoa,N1271964866,POINT (-2.9345677 43.2645212),43.2645212,-2.9345677,5,Abando
El Corte Ingles,W44016098,"POLYGON ((-2.9297596 43.2612796, -2.929741 43.2612328, -2.9297214 43.2611833, -2.9293277 43.2609953, -2.9292405 43.260954, -2.9288023 43.2607436, -2.9285108 43.2609088, -2.9284269 43.2609564, -2.9285161 43.2610385, -2.9285366 43.2610542, -2.9283842 43.261418, -2.9287025 43.2614885, -2.9294189 43.2616473, -2.9294801 43.261634, -2.9295481 43.2616193, -2.9296113 43.2615023, -2.9296859 43.261384, -2.9297596 43.2612796))",43.261229928011566,-2.929048100639934,5,Abando
Centro Comercial Zubiarte,W171882527,"POLYGON ((-2.9416334 43.2678192, -2.9413373 43.2677507, -2.9399959 43.2674403, -2.9397479 43.2673829, -2.9397246 43.2674478, -2.9397199 43.2675046, -2.9397349 43.267581, -2.9397484 43.2676478, -2.9397806 43.2677129, -2.9398383 43.2678254, -2.9398829 43.2679098, -2.9399083 43.2679516, -2.9399619 43.2680281, -2.9400445 43.2681067, -2.9401651 43.2681731, -2.9402928 43.2682293, -2.940268 43.2682816, -2.9403389 43.2682966, -2.9403689 43.268303, -2.9403905 43.2682473, -2.9404756 43.2682641, -2.9405722 43.2682778, -2.9406292 43.2682786, -2.9406292 43.2682973, -2.9406292 43.2683176, -2.9407513 43.2683086, -2.9408661 43.2682886, -2.9409872 43.2682556, -2.9412182 43.2681484, -2.9413641 43.2680559, -2.9414794 43.2679602, -2.9416334 43.2678192))",43.26787786483111,-2.940565564584242,5,Abando
